ONLINE REQUESTS:           30
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02258 		  001		  09 7 [09:00-16:59]		  09:02  		 1
02383 		  002		  09 7 [09:00-16:59]		  09:03  		 1
02466 		  027		  09 7 [09:00-16:59]		  09:15  		 1
02348 		  001		  09 7 [09:00-16:59]		  09:16  		 1
02243 		  003		  09 7 [09:00-16:59]		  09:22  		 1
02530 		  034		  09 7 [09:00-16:59]		  09:30  		 1
02593 		  005		  09 7 [09:00-16:59]		  09:31  		 1
02040 		  003		  09 7 [09:00-16:59]		  10:02  		 1
02551 		  038		  09 7 [09:00-16:59]		  10:08  		 1
02127 		  001		  09 7 [09:00-16:59]		  10:37  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:43  		 1
02563 		  033		  09 7 [09:00-16:59]		  10:58  		 1
50548 		  018		  09 7 [09:00-16:59]		  11:05  		 2
02294 		  002		  09 7 [09:00-16:59]		  11:06  		 2
02466 		  027		  09 7 [09:00-16:59]		  11:19  		 2
05108 		  045		  09 7 [09:00-16:59]		  11:23  		 2
02597 		  004		  09 7 [09:00-16:59]		  11:35  		 2
02094 		  014		  09 7 [09:00-16:59]		  11:39  		 2
02383 		  002		  09 7 [09:00-16:59]		  11:57  		 2
50583 		  049		  09 7 [09:00-16:59]		  12:13  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:23  		 2
02062 		  001		  09 7 [09:00-16:59]		  12:27  		 2
02258 		  001		  09 7 [09:00-16:59]		  12:28  		 2
02234 		  001		  09 7 [09:00-16:59]		  12:29  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:33  		 2
02560 		  002		  09 7 [09:00-16:59]		  12:36  		 2
02263 		  001		  09 7 [09:00-16:59]		  12:37  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:38  		 2
50541 		  020		  09 7 [09:00-16:59]		  12:54  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:56  		 2
