NODES: 106
VAN:   Capacity=700kg  Max Vol=50kg  Service Times [DPT]=000s [LCK]=900s [LRG]=300s [MDM]=240s [SML]=240s
BIKE:  Capacity= 70kg  Max Vol= 6kg  Service Times [DPT]=900s [LCK]=000s [LRG]=000s [MDM]=120s [SML]=120s
---------------------------------------------------------------------------------------------------------

NODE		 TYPE		VAN(s)	   BIKE(s)
00001 		 DPT 		000		   900
00002 		 DPT 		000		   900
00754 		 CST 		300		   000
00770 		 CST 		240		   120
01098 		 CST 		300		   000
02016 		 CST 		300		   000
02027 		 CST 		240		   120
02032 		 CST 		240		   120
02035 		 CST 		240		   120
02040 		 CST 		240		   120
02062 		 CST 		240		   120
02079 		 CST 		300		   000
02083 		 CST 		240		   120
02087 		 CST 		300		   000
02094 		 CST 		300		   000
02098 		 CST 		240		   120
02104 		 CST 		240		   120
02114 		 CST 		240		   120
02117 		 CST 		300		   000
02127 		 CST 		240		   120
02135 		 CST 		240		   120
02137 		 CST 		240		   120
02143 		 CST 		240		   120
02152 		 CST 		240		   120
02157 		 CST 		300		   000
02160 		 CST 		240		   120
02178 		 CST 		240		   120
02182 		 CST 		300		   000
02193 		 CST 		240		   120
02195 		 CST 		240		   120
02205 		 CST 		240		   120
02212 		 CST 		240		   120
02216 		 CST 		300		   000
02223 		 CST 		240		   120
02234 		 CST 		240		   120
02236 		 CST 		300		   000
02243 		 CST 		240		   120
02246 		 CST 		240		   120
02251 		 CST 		240		   120
02258 		 CST 		240		   120
02262 		 CST 		240		   120
02263 		 CST 		240		   120
02264 		 CST 		240		   120
02279 		 CST 		300		   000
02282 		 CST 		240		   120
02283 		 CST 		240		   120
02294 		 CST 		240		   120
02296 		 CST 		240		   120
02303 		 CST 		240		   120
02305 		 CST 		240		   120
02311 		 CST 		240		   120
02312 		 CST 		300		   000
02317 		 CST 		240		   120
02320 		 CST 		240		   120
02324 		 CST 		300		   000
02325 		 CST 		240		   120
02328 		 CST 		300		   000
02332 		 CST 		240		   120
02342 		 CST 		240		   120
02347 		 CST 		300		   000
02348 		 CST 		240		   120
02373 		 CST 		240		   120
02375 		 CST 		240		   120
02376 		 CST 		240		   120
02380 		 CST 		240		   120
02383 		 CST 		240		   120
02394 		 CST 		240		   120
02403 		 CST 		300		   000
02432 		 CST 		240		   120
02453 		 CST 		240		   120
02466 		 CST 		300		   000
02472 		 CST 		240		   120
02476 		 CST 		300		   000
02490 		 CST 		300		   000
02494 		 CST 		240		   120
02505 		 CST 		240		   120
02511 		 CST 		240		   120
02513 		 CST 		240		   120
02530 		 CST 		300		   000
02539 		 CST 		240		   120
02540 		 CST 		240		   120
02542 		 CST 		240		   120
02551 		 CST 		300		   000
02560 		 CST 		240		   120
02563 		 CST 		300		   000
02566 		 CST 		300		   000
02590 		 CST 		240		   120
02593 		 CST 		240		   120
02597 		 CST 		240		   120
02610 		 CST 		240		   120
02615 		 CST 		240		   120
02620 		 CST 		240		   120
05066 		 CST 		240		   120
05108 		 CST 		300		   000
05294 		 CST 		240		   120
05295 		 CST 		240		   120
05296 		 CST 		300		   000
50541 		 CST 		300		   000
50547 		 CST 		240		   120
50548 		 CST 		300		   000
50569 		 CST 		300		   000
50583 		 CST 		300		   000
99991 		 LCK 		900		   000
99992 		 LCK 		900		   000
99993 		 LCK 		900		   000
99994 		 LCK 		900		   000
