PAIRS: 11130
VAN:   Max Speed=40km/h
BIKE:  Max Speed=20km/h
---------------------------------------------

NA			 NB			  VAN(s)      BIKE(s)
00001 		 00002 		  1502 		  1793
00001 		 00754 		  1575 		  1879
00001 		 00770 		  1250 		  1493
00001 		 01098 		  1590 		  1969
00001 		 02016 		  1794 		  2147
00001 		 02027 		  1589 		  1879
00001 		 02032 		  1558 		  1862
00001 		 02035 		  1805 		  2160
00001 		 02040 		  1817 		  2174
00001 		 02062 		  1819 		  2190
00001 		 02079 		  1557 		  1860
00001 		 02083 		  1533 		  1833
00001 		 02087 		  1562 		  1848
00001 		 02094 		  1533 		  1815
00001 		 02098 		  1512 		  1794
00001 		 02104 		  1496 		  1783
00001 		 02114 		  1553 		  1820
00001 		 02117 		  1531 		  1813
00001 		 02127 		  1530 		  1809
00001 		 02135 		  1507 		  1770
00001 		 02137 		  1592 		  1876
00001 		 02143 		  1560 		  1844
00001 		 02152 		  1505 		  1770
00001 		 02157 		  1477 		  1740
00001 		 02160 		  1540 		  1823
00001 		 02178 		  1513 		  1782
00001 		 02182 		  1464 		  1753
00001 		 02193 		  1447 		  1723
00001 		 02195 		  1436 		  1709
00001 		 02205 		  1444 		  1693
00001 		 02212 		  1424 		  1688
00001 		 02216 		  1403 		  1665
00001 		 02223 		  1431 		  1702
00001 		 02234 		  1398 		  1665
00001 		 02236 		  1383 		  1648
00001 		 02243 		  1556 		  1844
00001 		 02246 		  1544 		  1884
00001 		 02251 		  1516 		  1857
00001 		 02258 		  1505 		  1839
00001 		 02262 		  1522 		  1844
00001 		 02263 		  1493 		  1814
00001 		 02264 		  1492 		  1814
00001 		 02279 		  1454 		  1773
00001 		 02282 		  1489 		  1809
00001 		 02283 		  1478 		  1790
00001 		 02294 		  1438 		  1745
00001 		 02296 		  1558 		  1848
00001 		 02303 		  1526 		  1811
00001 		 02305 		  1524 		  1808
00001 		 02311 		  1491 		  1765
00001 		 02312 		  1477 		  1747
00001 		 02317 		  1503 		  1839
00001 		 02320 		  1505 		  1844
00001 		 02324 		  1520 		  1804
00001 		 02325 		  1486 		  1799
00001 		 02328 		  1474 		  1786
00001 		 02332 		  1471 		  1774
00001 		 02342 		  1408 		  1654
00001 		 02347 		  1383 		  1632
00001 		 02348 		  1376 		  1634
00001 		 02373 		  1395 		  1650
